,post_code,x,y
0,PE21 8UE,-0.0259245859352411,52.9734997519928
1,PE23 5LG,0.0987335,53.1731721
2,LN11 9AU,-0.00338609022307199,53.3664009994547
3,PE21 6PF,-0.0219984159524849,52.9815260785167
4,PE20 3JE,-0.158921272199362,52.9406161916002
5,PE25 2RN,0.331217194023988,53.1574448694158
6,PE24 4DE,0.233883221683638,53.1084405049224
7,LN9 6AL,-0.107670266709824,53.208129882205
8,PE12 7EE,0.0153514895550022,52.8048996564861
9,LN13 9HT,0.17314523173721,53.2596289241762
10,LN11 7QU,0.143688736424725,53.4450685698127
11,LN8 3BP,-0.340821414973184,53.3843432170416
12,PE25 3TD,0.319989171063444,53.1414624036339
13,PE21 8EG,-0.0337330514688755,52.9760586072092
14,PE22 9LE,0.100203666266428,53.0301378833015
15,PE22 8AA,0.00281309407540988,53.0902730354601
16,LN11 9EH,0.00226452085462269,53.3622157925278
17,PE20 1DS,-0.0586109975000043,52.9307391786228
18,PE21 6JU,-0.0227982303633744,52.9751020689829
19,PE21 8EG,-0.0337330514688755,52.9760586072092
20,DN36 5RT,-0.0567480402573191,53.4649944206598
21,LN12 1DP,0.257752656573108,53.3386759137653
22,LN4 4SG,-0.173849363397462,53.1050919490384
23,LN11 0JN,-0.000626131335318122,53.3691687176571
24,LN9 6QP,-0.00963608650894233,53.2519157753595
25,LN7 6NX,-0.315020281006933,53.4942935009575
26,LN10 6TX,-0.213750029714309,53.1512417333739
27,LN10 6SQ,-0.208366572656347,53.1530726435289
28,LN8 6ED,-0.178896484358125,53.4276602897211
29,LN8 5DA,-0.301337229141581,53.2879478290678
30,PE21 9QS,-0.00996774857108107,52.9911251059027
31,PE21 7TW,-0.0590174997142985,52.9765082038097
32,PE21 8QR,-0.0271755055084541,52.9761188234531
33,PE25 2BS,0.332257420843006,53.145178726393
34,PE21 8QR,-0.0271755055084541,52.9761188234531
35,LN11 0EU,-0.00858210141076329,53.3710098708699
36,LN11 0EU,-0.00858210141076329,53.3710098708699
37,LN11 0EU,-0.00858210141076329,53.3710098708699
38,PE25 2BS,0.332257420843006,53.145178726393
39,LN11 0EU,-0.00858210141076329,53.3710098708699
40,PE25 2BS,0.332257420843006,53.145178726393
41,PE21 8RU,-0.0280222954500003,52.9779648272565
42,LN6 7TU,-0.554940056684511,53.2196162263414
43,LN12 1DP,0.257752656573108,53.3386759137653
44,LN11 0EU,-0.00858210141076329,53.3710098708699
45,PE21 9QS,-0.00996774857108107,52.9911251059027
46,PE25 1JL,0.34221854468829,53.1880591292102
47,PE21 8EG,-0.0337330514688755,52.9760586072092
48,LN11 0EU,-0.00858210141076329,53.3710098708699
49,LN2 5QY,-0.519635157901581,53.233575394698
50,LN5 7LB,-0.539073677108294,53.2237198504246
51,LN5 0JJ,-0.526301023672553,53.1034955204291
52,LN2 2JP,-0.523872638465536,53.2475888598462
53,LN6 7SS,-0.560496616319116,53.2111343228265
54,LN5 8LZ,-0.547902015437634,53.2107371306452
55,DN21 2UQ,-0.780580816221763,53.4117757828641
56,LN6 9AY,-0.596638716584081,53.1875181642958
57,LN4 1LH,-0.467988114424054,53.1958310982271
58,LN2 2RS,-0.4762534491244,53.262865502618
59,DN20 9ED,-0.525671913733075,53.5104624721303
60,LN2 3JH,-0.484843037379254,53.306583634954
61,LN1 2NU,-0.670911880525006,53.2709113901189
62,LN6 0QQ,-0.606114667813887,53.215985817258
63,DN21 2DJ,-0.777677411647951,53.3991703003144
64,LN4 2LA,-0.535298526310049,53.1965067267886
65,LN2 5HR,-0.530810715345279,53.2305582953656
66,LN1 2XF,-0.5764459,53.3363355
67,LN4 1BN,-0.473351670478399,53.2218263681659
68,LN4 3EZ,-0.399729562499236,53.1378300678024
69,LN6 8RT,-0.562883728781786,53.2015531999951
70,LN2 2JP,-0.523872638465536,53.2475888598462
71,LN1 3LJ,-0.545015963720562,53.2388771398977
72,DN21 5JZ,-0.685688200826051,53.3508737597226
73,LN5 9AB,-0.557031174656361,53.1890317815074
74,LN2 4QN,-0.508964811879827,53.2465852835996
75,LN2 5HU,-0.528840317067054,53.2307857027079
76,LN6 0QQ,-0.606114667813887,53.215985817258
77,LN5 9HF,-0.637009596760441,53.1266557582313
78,LN1 3LT,-0.546665728533304,53.2410457831008
79,LN1 1XP,-0.544260157349119,53.2302378698534
80,DN21 3SB,-0.66424472620435,53.4926745198987
81,LN6 8NH,-0.5836732875,53.1856056375
82,LN1 2NU,-0.670911880525006,53.2709113901189
83,LN6 8BW,-0.572763238534679,53.1934913579292
84,DN21 2UQ,-0.780580816221763,53.4117757828641
85,LN1 1XP,-0.544260157349119,53.2302378698534
86,LN4 3DZ,-0.40218256733871,53.139004729828
87,LN6 7GA,-0.546181368491369,53.2279177519685
88,LN2 5QY,-0.519635157901581,53.233575394698
89,DN21 2TJ,-0.784791392210841,53.411845664601
90,DN21 2TJ,-0.784791392210841,53.411845664601
91,DN21 2RJ,-0.777256892480332,53.4075438754594
92,LN2 2NT,-0.491781806042218,53.2659755790608
93,LN5 7RZ,-0.541944179101117,53.2225593772349
94,LN2 4WJ,-0.500717228985179,53.2424275070689
95,DN21 2TJ,-0.784791392210841,53.411845664601
96,LN2 5HP,-0.531708931066181,53.2305783527838
97,LN6 9BA,-0.596464761622007,53.187345312148
98,LN6 7TU,-0.554940056684511,53.2196162263414
99,DN21 2DZ,-0.775296013738568,53.3972491911774
100,LN5 7JH,-0.524149724062038,53.2264666195281
101,LN6 7GA,-0.546181368491369,53.2279177519685
102,LN2 5HU,-0.528840317067054,53.2307857027079
