Postcode	Description	Grid Reference	X (easting)	Y (northing)	Latitude	Longitude
TS26 8DF	TS26 8DF	NZ 50476 32519	450476	532519	54.6852	-1.2185768
TS18 2EP	TS18 2EP	NZ 44572 19852	444572	519852	54.57193	-1.3120698
TS18 2AP	TS18 2AP	NZ 44309 19518	444309	519518	54.568951	-1.3161878
TS5 4EQ	TS5 4EQ	NZ 48084 18943	448084	518943	54.563441	-1.257899
TS24 9LJ	TS24 9LJ	NZ 50177 35263	450177	535263	54.709887	-1.2227431
TS18 1HU	TS18 1HU	NZ 44139 18708	444139	518708	54.561687	-1.3189383
TS1 5EF	TS1 5EF	NZ 49065 20290	449065	520290	54.575451	-1.2425051
TS18 2EP	TS18 2EP	NZ 44572 19852	444572	519852	54.57193	-1.3120698
LA12 7BT	LA12 7BT	SD 28469 78683	328469	478683	54.198889	-3.0979709
CA9 3QX	CA9 3QX	NY 71829 46238	371829	546238	54.810206	-2.4398348
LA22 9BP	LA22 9BP	NY 37416 04833	337416	504833	54.435043	-2.966341
CA16 6QR	CA16 6QR	NY 68231 20431	368231	520431	54.578082	-2.4929927
LA14 1LF	LA14 1LF	SD 19937 69065	319937	469065	54.111205	-3.2261656
LA14 5ES	LA14 5ES	SD 20161 69951	320161	469951	54.119201	-3.2229745
LA13 9SH	LA13 9SH	SD 21085 69393	321085	469393	54.11433	-3.2086955
LA14 5JY	LA14 5JY	SD 20528 70454	320528	470454	54.123778	-3.2174936
LA14 5SL	LA14 5SL	SD 19748 69682	319748	469682	54.11672	-3.2292199
CA8 1NL	CA8 1NL	NY 53023 61103	353023	561103	54.942364	-2.7348413
CA17 4RB	CA17 4RB	NY 77422 08876	377422	508876	54.474736	-2.3499183
CA7 8DS	CA7 8DS	NY 32470 39942	332470	539942	54.749872	-3.0506691
CA1 1EB	CA1 1EB	NY 40545 55850	340545	555850	54.893832	-2.9285097
CA1 1DG	CA1 1DG	NY 40405 55832	340405	555832	54.893653	-2.9306884
CA1 1ED	CA1 1ED	NY 40495 55783	340495	555783	54.893224	-2.9292753
CA1 1BP	CA1 1BP	NY 40379 55970	340379	555970	54.89489	-2.9311223
CA1 2HE	CA1 2HE	NY 40898 55492	340898	555492	54.890657	-2.9229332
CA2 7AJ	CA2 7AJ	NY 39010 55912	339010	555912	54.894203	-2.9524519
CA13 9HT	CA13 9HT	NY 12482 31080	312482	531080	54.667168	-3.3584523
CA5 7PZ	CA5 7PZ	NY 36804 50063	336804	550063	54.841375	-2.9855579
CA14 5UR	CA14 5UR	NY 00511 23327	300511	523327	54.595296	-3.541351
CA20 1PN	CA20 1PN	NY 04010 01150	304010	501150	54.396738	-3.4799979
LA9 4JE	LA9 4JE	SD 51410 92243	351410	492243	54.323438	-2.7485625
LA9 7HR	LA9 7HR	SD 52139 91031	352139	491031	54.312616	-2.7371605
LA9 6SA	LA9 6SA	SD 51994 93185	351994	493185	54.331959	-2.7397364
CA12 4DB	CA12 4DB	NY 26796 23094	326796	523094	54.597699	-3.1345725
CA7 5JH	CA7 5JH	NY 22957 56486	322957	556486	54.89714	-3.2028404
LA6 2HQ	LA6 2HQ	SD 60809 78484	360809	478484	54.2006	-2.6022595
CA10 3LW	CA10 3LW	NY 56224 15057	356224	515057	54.52889	-2.6779313
CA15 8EL	CA15 8EL	NY 03799 35627	303799	535627	54.706432	-3.494531
LA18 4BY	LA18 4BY	SD 17397 79987	317397	479987	54.20894	-3.2680055
LA7 7PW	LA7 7PW	SD 49853 81559	349853	481559	54.227277	-2.7707043
CA11 8HW	CA11 8HW	NY 52107 29262	352107	529262	54.656163	-2.7438641
CA11 8HW	CA11 8HW	NY 52107 29262	352107	529262	54.656163	-2.7438641
CA7 4AH	CA7 4AH	NY 10667 53663	310667	553663	54.869731	-3.3935406
CA10 1RW	CA10 1RW	NY 61060 27091	361060	527091	54.637427	-2.6048115
LA15 8AB	LA15 8AB	SD 23050 73988	323050	473988	54.155917	-3.1798162
CA28 7PD	CA28 7PD	NX 97569 18001	297569	518001	54.546863	-3.5850084
CA28 7RG	CA28 7RG	NX 97477 17803	297477	517803	54.545065	-3.586361
CA28 7QE	CA28 7QE	NX 97461 17764	297461	517764	54.544712	-3.5865947
CA7 9QD	CA7 9QD	NY 25628 47889	325628	547889	54.820306	-3.1589842
LA23 2EG	LA23 2EG	SD 40759 97642	340759	497642	54.370826	-2.9133735
CA14 2DL	CA14 2DL	NY 00051 28830	300051	528830	54.644641	-3.5503468
CA14 3FT	CA14 3FT	NY 00353 28570	300353	528570	54.642365	-3.5455802
CA14 2ED	CA14 2ED	NY 00096 28869	300096	528869	54.645	-3.5496631
CA14 2AJ	CA14 2AJ	NY 00040 28724	300040	528724	54.643687	-3.5504809
CA3 9JZ	CA3 9JZ	postcode not found
LA11 7DJ	LA11 7DJ	SD 40347 77294	340347	477294	54.18793	-2.9156496
CA7 3HH	CA7 3HH	NY 13998 41621	313998	541621	54.762131	-3.3380703
CA13 9HT	CA13 9HT	NY 12482 31080	312482	531080	54.667168	-3.3584523
CA28 7BA	CA28 7BA	NX 97306 17974	297306	517974	54.546567	-3.589063
CA28 7PA	CA28 7PA	NX 97634 18048	297634	518048	54.547298	-3.5840204
LA14 2LR	LA14 2LR	SD 19794 68932	319794	468932	54.109988	-3.2283171
CA12 5JY	CA12 5JY	NY 26575 23584	326575	523584	54.60207	-3.1381152
CA22 2DB	CA22 2DB	NY 01058 10824	301058	510824	54.483081	-3.5286827
LA11 7DJ	LA11 7DJ	SD 40347 77294	340347	477294	54.18793	-2.9156496
LA12 7BT	LA12 7BT	SD 28469 78683	328469	478683	54.198889	-3.0979709
LA23 1BA	LA23 1BA	SD 41068 98744	341068	498744	54.380765	-2.9088366
LA14 3HY	LA14 3HY	SD 18050 68647	318050	468647	54.107152	-3.2549088
LA13 9RX	LA13 9RX	SD 21138 69109	321138	469109	54.111787	-3.2078107
LA5 0DP	LA5 0DP	SD 45762 78602	345762	478602	54.200286	-2.832914
CA28 7BU	CA28 7BU	NX 97346 17905	297346	517905	54.545955	-3.5884208
LA13 9QY	LA13 9QY	SD 21028 69214	321028	469214	54.112713	-3.2095204
LA10 5DL	LA10 5DL	SD 65280 91997	365280	491997	54.322363	-2.5352983
LA21 8ER	LA21 8ER	SD 30183 97393	330183	497393	54.367247	-3.0760768
CA10 1DQ	CA10 1DQ	NY 55534 41203	355534	541203	54.763779	-2.6925765
LA15 8AF	LA15 8AF	SD 22926 74133	322926	474133	54.157201	-3.1817517
CA11 0PD	CA11 0PD	NY 38589 16947	338589	516947	54.544039	-2.9507834
LA16 7JP	LA16 7JP	SD 21071 77115	321071	477115	54.183714	-3.2109334
CA14 2RW	CA14 2RW	NX 99974 28621	299974	528621	54.642748	-3.551468
LA14 5SL	LA14 5SL	SD 19748 69682	319748	469682	54.11672	-3.2292199
CA4 0HP	CA4 0HP	NY 46984 45529	346984	545529	54.801819	-2.8262318
CA1 1LB	CA1 1LB	NY 40645 55784	340645	555784	54.89325	-2.9269372
CA1 1LB	CA1 1LB	NY 40645 55784	340645	555784	54.89325	-2.9269372
LA22 0NU	LA22 0NU	SD 35251 98228	335251	498228	54.375421	-2.9982695
CA6 5XA	CA6 5XA	NY 38423 68864	338423	568864	55.010504	-2.9643859
LA11 6PH	LA11 6PH	SD 38316 78574	338316	478574	54.199191	-2.947032
LA12 8QF	LA12 8QF	SD 35358 84432	335358	484432	54.251466	-2.9936305
LA17 7TE	LA17 7TE	SD 22911 82490	322911	482490	54.23229	-3.1841266
CA1 1LB	CA1 1LB	NY 40645 55784	340645	555784	54.89325	-2.9269372
DL16 6QA	DL16 6QA	NZ 25992 33919	425992	533919	54.699634	-1.5982131
DL15 0EQ	DL15 0EQ	NZ 19737 34996	419737	534996	54.709595	-1.6951949
SR7 8LF	SR7 8LF	NZ 41918 49308	441918	549308	54.836848	-1.348895
DL1 3RT	DL1 3RT	NZ 30827 16886	430827	516886	54.546297	-1.5249787
DL3 6HZ	DL3 6HZ	NZ 28139 15311	428139	515311	54.532299	-1.5666792
TS27 4LQ	TS27 4LQ	NZ 45822 39329	445822	539329	54.746838	-1.2896908
DL4 2HP	DL4 2HP	NZ 23105 26702	423105	526702	54.634919	-1.6435762
DH3 3SL	DH3 3SL	NZ 27478 51696	427478	551696	54.859304	-1.5734797
DL3 9JP	DL3 9JP	NZ 27434 15523	427434	515523	54.534243	-1.5775536
DH1 1QW	DH1 1QW	NZ 27932 42735	427932	542735	54.778754	-1.5672688
SR8 5TW	SR8 5TW	NZ 43124 40545	443124	540545	54.758003	-1.3314202
DL1 4YL	DL1 4YL	NZ 29704 13654	429704	513654	54.517319	-1.5426624
DH1 2QW	DH1 2QW	NZ 30446 43575	430446	543575	54.786157	-1.5280976
DL14 6AB	DL14 6AB	NZ 20862 29105	420862	529105	54.656611	-1.6781535
DH9 8AD	DH9 8AD	NZ 19263 52837	419263	552837	54.869939	-1.7013733
DH6 3HW	DH6 3HW	NZ 35777 39461	435777	539461	54.748837	-1.4457114
DH8 5YA	DH8 5YA	NZ 11139 50723	411139	550723	54.851187	-1.8280404
DH6 2JL	DH6 2JL	NZ 38988 41226	438988	541226	54.76446	-1.3955941
DL15 9HU	DL15 9HU	NZ 16377 35808	416377	535808	54.717012	-1.7472974
DL14 6RP	DL14 6RP	NZ 20812 28156	420812	528156	54.648085	-1.6789957
DH7 8NH	DH7 8NH	NZ 23989 39317	423989	539317	54.748242	-1.6288494
DH9 0AB	DH9 0AB	NZ 19475 52846	419475	552846	54.870012	-1.6980694
DH4 6RQ	DH4 6RQ	NZ 31912 46361	431912	546361	54.811101	-1.504997
DL14 7EJ	DL14 7EJ	NZ 20986 29389	420986	529389	54.659158	-1.6762113
DH7 6JW	DH7 6JW	NZ 23975 47267	423975	547267	54.819683	-1.6284129
DH6 4DH	DH6 4DH	NZ 32030 35631	432030	535631	54.714672	-1.5043401
DH3 3QD	DH3 3QD	NZ 27491 51314	427491	551314	54.855871	-1.5733134
DH3 4LE	DH3 4LE	NZ 29447 49257	429447	549257	54.837275	-1.5430556
DH7 7DG	DH7 7DG	NZ 23500 43230	423500	543230	54.783428	-1.6361308
DL3 8SQ	DL3 8SQ	NZ 27327 14824	427327	514824	54.527967	-1.5792717
DL13 5AF	DL13 5AF	NZ 12753 24201	412753	524201	54.612809	-1.8040549
DH2 1HS	DH2 1HS	NZ 25547 53242	425547	553242	54.873298	-1.6034234
DL3 7JR	DL3 7JR	NZ 28639 14749	428639	514749	54.527221	-1.5590073
DL13 2XD	DL13 2XD	NY 99918 39027	399918	539027	54.746203	-2.0027955
DH1 5BH	DH1 5BH	NZ 26644 44619	426644	544619	54.795754	-1.5871202
DL5 5LH	DL5 5LH	NZ 27747 24796	427747	524796	54.617558	-1.5718446
NE16 6HU	NE16 6HU	NZ 16741 56792	416741	556792	54.90557	-1.7404422
DL1 5JN	DL1 5JN	NZ 29331 14067	429331	514067	54.521052	-1.5483831
SR7 9AB	SR7 9AB	NZ 39727 47079	439727	547079	54.816997	-1.3833101
TS28 5PZ	TS28 5PZ	NZ 40104 36904	440104	536904	54.725534	-1.3788453
DL12 0QE	DL12 0QE	NY 94943 25324	394943	525324	54.623032	-2.0798359
SR8 4LD	SR8 4LD	NZ 44312 41196	444312	541196	54.76375	-1.3128624
DL17 8JJ	DL17 8JJ	NZ 28673 32839	428673	532839	54.689784	-1.5567202
